Id,Invoice amount,Customer ID,Is the payment electronic or cash?,Date,time
922567,45,4166,false,5/31/2025,19:07
922412,16,35020,false,5/31/2025,16:58
922384,56,24431,true,5/31/2025,15:52
921970,14,7326,true,5/31/2025,02:35
921756,18,28724,true,5/31/2025,00:02
921712,30,50428,false,5/30/2025,23:25
921660,62,2693,false,5/30/2025,22:47
921526,30,26865,false,5/30/2025,21:12
921415,31,3986,true,5/30/2025,19:14
921402,28,19677,true,5/30/2025,18:56
921348,29,5763,true,5/30/2025,17:56
921212,41,7563,true,5/30/2025,14:44
921197,34,36296,true,5/30/2025,14:33
920927,48,37203,false,5/30/2025,04:53
920718,21,48413,true,5/30/2025,01:17
920324,29,31033,true,5/29/2025,21:24
920276,23,35787,true,5/29/2025,21:02
920217,39,30507,false,5/29/2025,20:07
920105,71,1456,true,5/29/2025,18:19
920076,30,50408,true,5/29/2025,17:51
920012,32,48686,true,5/29/2025,16:00
920000,21,36296,true,5/29/2025,15:26
919919,16,46245,true,5/29/2025,13:49
919895,14,27496,true,5/29/2025,13:19
919776,22,1905,true,5/29/2025,08:58
919763,14,42588,true,5/29/2025,08:36
919617,59,1058,true,5/29/2025,03:16
919597,53,29053,true,5/29/2025,02:58
919225,54,18909,false,5/28/2025,22:03
919074,38,34129,true,5/28/2025,19:41
919069,58,2817,true,5/28/2025,19:39
918866,21,24773,true,5/28/2025,16:44
918556,14,1846,true,5/28/2025,09:27
918420,14,28952,false,5/28/2025,05:39
918394,32,50293,true,5/28/2025,04:50
918348,53,42266,true,5/28/2025,03:16
918188,16,50127,false,5/28/2025,00:57
917901,23,1456,true,5/27/2025,21:57
917763,29,3909,true,5/27/2025,20:26
917675,7,7589,true,5/27/2025,19:24
917596,14,40925,true,5/27/2025,18:00
917458,23,50221,true,5/27/2025,16:01
917372,47,30891,true,5/27/2025,14:31
917086,30,29854,false,5/27/2025,07:43
916971,29,9112,false,5/27/2025,04:43
916964,14,46715,true,5/27/2025,04:21
916787,61,10833,true,5/27/2025,01:59
916578,16,1224,true,5/26/2025,23:29
916526,16,38123,true,5/26/2025,22:39
916404,22,20004,true,5/26/2025,20:40
916371,67,1058,true,5/26/2025,20:16
916183,42,40925,true,5/26/2025,15:30
916084,23,1123,true,5/26/2025,12:21
915682,38,6078,true,5/25/2025,22:54
915473,25,30950,true,5/25/2025,18:28
915414,29,1805,true,5/25/2025,17:03
915404,29,39281,true,5/25/2025,16:48
915228,30,37982,true,5/25/2025,10:47
915099,30,9306,true,5/25/2025,04:55
915000,27,1995,true,5/25/2025,01:30
914752,14,32535,true,5/24/2025,20:51
914560,29,2865,true,5/24/2025,16:27
914239,23,12632,true,5/24/2025,02:18
914142,23,1456,true,5/24/2025,00:14
914109,16,10554,true,5/23/2025,23:47
913872,40,28042,true,5/23/2025,19:55
913792,77,1141,true,5/23/2025,17:15
913745,16,38460,true,5/23/2025,15:39
913709,32,2696,true,5/23/2025,14:41
913464,48,1468,true,5/23/2025,08:39
912774,16,38460,true,5/22/2025,14:06
912675,28,10810,true,5/22/2025,10:20
912584,56,41162,true,5/22/2025,07:03
912503,29,1058,true,5/22/2025,02:34
912270,20,3162,true,5/21/2025,21:49
912103,31,3944,true,5/21/2025,18:13
912089,45,30950,true,5/21/2025,17:46
912056,21,23224,true,5/21/2025,16:38
911839,41,1468,true,5/21/2025,08:23
911688,20,23165,true,5/21/2025,01:07
911276,33,28076,true,5/20/2025,17:16
911033,14,4132,true,5/20/2025,09:20
911005,20,10810,true,5/20/2025,08:05
910976,20,50186,true,5/20/2025,07:14
910905,21,12300,true,5/20/2025,03:24
910453,31,5676,true,5/19/2025,18:20
910325,20,36914,true,5/19/2025,15:12
909934,20,38251,true,5/19/2025,00:07
909896,20,23224,true,5/18/2025,23:35
909778,22,40508,true,5/18/2025,21:38
909747,25,12300,true,5/18/2025,21:07
909738,58,11912,true,5/18/2025,20:57
